season,team,conference,statName,statValue
2020,Ohio,Mid-American,passingTDs,4
2020,Liberty,FBS Independents,thirdDowns,147
2020,Florida Atlantic,Conference USA,puntReturnTDs,0
2020,Vanderbilt,SEC,games,9
2020,Georgia State,Sun Belt,interceptionYards,112
2020,Northwestern,Big Ten,rushingTDs,16
2020,Georgia State,Sun Belt,fumblesRecovered,9
2020,Texas A&M,SEC,passingTDs,20
2020,Georgia State,Sun Belt,rushingYards,1937
2020,Iowa,Big Ten,kickReturns,12
2020,Colorado,Pac-12,fumblesRecovered,3
2020,Washington State,Pac-12,fumblesLost,4
2020,Texas A&M,SEC,possessionTime,20275
2020,Texas Tech,Big 12,tacklesForLoss,58
2020,Missouri,SEC,passCompletions,246
2020,Arizona,Pac-12,games,5
2020,Oregon,Pac-12,passAttempts,190
2020,New Mexico,Mountain West,kickReturnYards,560
2020,Oregon,Pac-12,thirdDowns,74
2020,Notre Dame,FBS Independents,puntReturnTDs,2
2020,Northwestern,Big Ten,passAttempts,283
2020,Kentucky,SEC,sacks,15
2020,Nebraska,Big Ten,kickReturnYards,274
2020,Maryland,Big Ten,fourthDowns,1
2020,Iowa State,Big 12,netPassingYards,2896
2020,Marshall,Conference USA,kickReturnYards,417
2020,Bowling Green,Mid-American,turnovers,11
2020,Wisconsin,Big Ten,puntReturns,11
2020,Wisconsin,Big Ten,puntReturnYards,30
2020,Akron,Mid-American,rushingYards,842
2020,Middle Tennessee,Conference USA,puntReturnTDs,0
2020,Houston,American Athletic,puntReturnYards,369
2020,LSU,SEC,passCompletions,247
2020,Memphis,American Athletic,puntReturnYards,188
2020,Charlotte,Conference USA,puntReturnYards,30
2020,Charlotte,Conference USA,games,6
2020,Northwestern,Big Ten,puntReturns,10
2020,Florida State,ACC,interceptionTDs,1
2020,Purdue,Big Ten,puntReturnTDs,0
2020,SMU,American Athletic,turnovers,12
2020,USC,Pac-12,kickReturnYards,305
2020,Boston College,ACC,turnovers,14
2020,UMass,FBS Independents,rushingAttempts,117
2020,Rice,Conference USA,thirdDowns,75
2020,Western Michigan,Mid-American,interceptionYards,42
2020,Utah State,Mountain West,fourthDowns,10
2020,Boise State,Mountain West,passingTDs,12
2020,Florida International,Conference USA,totalYards,1332
2020,SMU,American Athletic,rushingAttempts,376
2020,Ole Miss,SEC,thirdDowns,141
2020,Auburn,SEC,fourthDownConversions,3
2020,Western Kentucky,Conference USA,penaltyYards,481
2020,San Diego State,Mountain West,interceptionYards,156
2020,Rice,Conference USA,fourthDownConversions,6
2020,Colorado,Pac-12,games,6
2020,Houston,American Athletic,turnovers,16
2020,California,Pac-12,puntReturns,8
2020,Tulsa,American Athletic,fourthDownConversions,9
2020,Boise State,Mountain West,firstDowns,129
2020,Rutgers,Big Ten,tacklesForLoss,71
2020,Coastal Carolina,Sun Belt,possessionTime,23907
2020,Michigan State,Big Ten,netPassingYards,1672
2020,Appalachian State,Sun Belt,totalYards,5424
2020,Louisiana Tech,Conference USA,fumblesRecovered,5
2020,Georgia,SEC,fourthDownConversions,6
2020,Ole Miss,SEC,rushingYards,2116
2020,Air Force,Mountain West,fourthDownConversions,8
2020,Toledo,Mid-American,totalYards,2963
2020,Georgia,SEC,interceptions,11
2020,Pittsburgh,ACC,kickReturnYards,370
2020,Georgia,SEC,passingTDs,19
2020,Minnesota,Big Ten,rushingTDs,19
2020,Utah,Pac-12,possessionTime,9978
2020,Colorado,Pac-12,fumblesLost,4
2020,Clemson,ACC,puntReturns,13
2020,Marshall,Conference USA,passingTDs,19
2020,Utah State,Mountain West,games,6
2020,USC,Pac-12,puntReturnTDs,0
2020,Florida,SEC,possessionTime,22351
2020,Ball State,Mid-American,sacks,15
2020,South Alabama,Sun Belt,penalties,42
2020,Purdue,Big Ten,passingTDs,15
2020,New Mexico,Mountain West,kickReturnTDs,0
2020,Duke,ACC,possessionTime,18806
2020,Oklahoma,Big 12,puntReturns,16
2020,Tulsa,American Athletic,passCompletions,173
2020,Tulsa,American Athletic,fumblesLost,7
2020,Arkansas,SEC,kickReturnTDs,0
2020,Georgia Southern,Sun Belt,firstDowns,223
2020,Wyoming,Mountain West,interceptions,5
2020,UT San Antonio,Conference USA,kickReturnYards,508
2020,LSU,SEC,thirdDowns,155
2020,Buffalo,Mid-American,puntReturns,8
2020,Clemson,ACC,puntReturnYards,123
2020,Louisiana,Sun Belt,interceptions,7
2020,Nebraska,Big Ten,penalties,54
2020,Nevada,Mountain West,thirdDowns,118
2020,Kentucky,SEC,totalYards,3500
2020,Oklahoma State,Big 12,interceptionYards,95
2020,Utah State,Mountain West,puntReturns,5
2020,BYU,FBS Independents,kickReturnTDs,0
2020,Tennessee,SEC,fumblesRecovered,5
2020,USC,Pac-12,fumblesRecovered,6
2020,Charlotte,Conference USA,thirdDownConversions,39
2020,Wisconsin,Big Ten,passesIntercepted,8
2020,Arizona,Pac-12,turnovers,12
2020,New Mexico,Mountain West,thirdDowns,107
2020,UT San Antonio,Conference USA,passAttempts,370
2020,Tulsa,American Athletic,passesIntercepted,6
2020,Southern Mississippi,Conference USA,rushingYards,1595
2020,Florida International,Conference USA,sacks,10
2020,Northern Illinois,Mid-American,rushingYards,738
2020,East Carolina,American Athletic,puntReturnTDs,1
2020,Coastal Carolina,Sun Belt,kickReturnTDs,0
2020,Texas,Big 12,passesIntercepted,10
2020,Eastern Michigan,Mid-American,thirdDownConversions,34
2020,Troy,Sun Belt,netPassingYards,3192
2020,Georgia Tech,ACC,rushingYards,1904
2020,Washington State,Pac-12,puntReturns,1
2020,Maryland,Big Ten,passingTDs,9
2020,Fresno State,Mountain West,thirdDownConversions,38
2020,UTEP,Conference USA,penaltyYards,519
2020,Memphis,American Athletic,fumblesLost,8
2020,Toledo,Mid-American,interceptionYards,69
2020,BYU,FBS Independents,games,12
2020,Colorado State,Mountain West,thirdDowns,60
2020,UT San Antonio,Conference USA,rushingTDs,24
2020,Pittsburgh,ACC,kickReturnTDs,0
2020,Florida International,Conference USA,passesIntercepted,2
2020,UAB,Conference USA,puntReturnTDs,1
2020,Tulane,American Athletic,netPassingYards,2119
2020,UAB,Conference USA,possessionTime,15243
2020,Middle Tennessee,Conference USA,fumblesRecovered,6
2020,Arizona,Pac-12,interceptionYards,15
2020,South Carolina,SEC,interceptionTDs,0
2020,Tulsa,American Athletic,passingTDs,15
2020,Michigan,Big Ten,interceptionTDs,0
2020,Maryland,Big Ten,netPassingYards,1291
2020,UNLV,Mountain West,puntReturns,5
2020,Washington,Pac-12,rushingYards,705
2020,Kansas State,Big 12,fumblesRecovered,5
2020,Utah,Pac-12,passesIntercepted,7
2020,Ohio,Mid-American,fourthDownConversions,0
2020,Wake Forest,ACC,tacklesForLoss,68
2020,Memphis,American Athletic,puntReturns,21
2020,BYU,FBS Independents,fourthDownConversions,13
2020,South Carolina,SEC,rushingTDs,19
2020,Kent State,Mid-American,passCompletions,90
2020,Iowa,Big Ten,penalties,38
2020,Arkansas,SEC,turnovers,13
2020,Temple,American Athletic,thirdDownConversions,44
2020,Florida Atlantic,Conference USA,puntReturnYards,89
2020,Houston,American Athletic,netPassingYards,2126
2020,Ohio State,Big Ten,interceptionTDs,2
2020,Ball State,Mid-American,penalties,46
2020,Northern Illinois,Mid-American,netPassingYards,1443
2020,Kansas,Big 12,totalYards,2333
2020,Kentucky,SEC,turnovers,12
2020,Texas Tech,Big 12,kickReturnTDs,0
2020,Louisville,ACC,passingTDs,20
2020,Georgia,SEC,kickReturnTDs,0
2020,Northwestern,Big Ten,fourthDownConversions,18
2020,Florida,SEC,interceptionYards,84
2020,Washington,Pac-12,passAttempts,111
2020,Temple,American Athletic,puntReturns,5
2020,Washington,Pac-12,penaltyYards,162
2020,Louisiana,Sun Belt,kickReturnTDs,2
2020,Nevada,Mountain West,fumblesRecovered,3
2020,Texas State,Sun Belt,penaltyYards,592
2020,LSU,SEC,thirdDownConversions,52
2020,Washington,Pac-12,puntReturnTDs,0
2020,Western Kentucky,Conference USA,penalties,54
2020,South Alabama,Sun Belt,puntReturns,8
2020,West Virginia,Big 12,interceptionYards,112
2020,Toledo,Mid-American,rushingTDs,7
2020,Oregon State,Pac-12,interceptionYards,1
2020,UAB,Conference USA,rushingYards,1800
2020,Notre Dame,FBS Independents,interceptions,3
2020,Duke,ACC,penalties,62
2020,UNLV,Mountain West,fourthDownConversions,10
2020,Auburn,SEC,fumblesLost,2
2020,Army,FBS Independents,rushingAttempts,716
2020,Boise State,Mountain West,thirdDowns,96
2020,Stanford,Pac-12,passesIntercepted,2
2020,Toledo,Mid-American,firstDowns,163
2020,Washington State,Pac-12,kickReturnTDs,0
2020,Charlotte,Conference USA,passAttempts,179
2020,Virginia,ACC,possessionTime,18644
2020,Hawai'i,Mountain West,passesIntercepted,12
2020,Nebraska,Big Ten,firstDowns,170
2020,Colorado,Pac-12,puntReturns,11
2020,Virginia Tech,ACC,passCompletions,157
2020,Texas,Big 12,games,10
2020,California,Pac-12,firstDowns,73
2020,Oklahoma,Big 12,passCompletions,249
2020,Arizona,Pac-12,thirdDownConversions,26
2020,Texas,Big 12,totalYards,4755
2020,Nebraska,Big Ten,fumblesLost,9
2020,Michigan,Big Ten,fumblesLost,2
2020,Texas Tech,Big 12,turnovers,18
2020,Western Michigan,Mid-American,rushingTDs,13
2020,San José State,Mountain West,rushingYards,1060
2020,Nebraska,Big Ten,passCompletions,155
2020,Wyoming,Mountain West,penaltyYards,279
2020,Houston,American Athletic,puntReturns,20
2020,Utah State,Mountain West,passAttempts,169
2020,Tulsa,American Athletic,rushingYards,1418
2020,Utah,Pac-12,interceptionYards,201
2020,UCF,American Athletic,penaltyYards,750
2020,San Diego State,Mountain West,passAttempts,203
2020,Florida State,ACC,fumblesLost,4
2020,Wyoming,Mountain West,penalties,31
2020,Eastern Michigan,Mid-American,kickReturnTDs,0
2020,Virginia,ACC,games,10
2020,Rutgers,Big Ten,penaltyYards,537
2020,Memphis,American Athletic,firstDowns,259
2020,Florida Atlantic,Conference USA,possessionTime,15579
2020,Southern Mississippi,Conference USA,interceptions,9
2020,BYU,FBS Independents,puntReturnYards,80
2020,Washington State,Pac-12,netPassingYards,1019
2020,Army,FBS Independents,games,12
2020,Texas Tech,Big 12,passesIntercepted,5
2020,Maryland,Big Ten,puntReturns,2
2020,BYU,FBS Independents,sacks,27
2020,Florida Atlantic,Conference USA,rushingAttempts,360
2020,Coastal Carolina,Sun Belt,netPassingYards,2778
2020,Ball State,Mid-American,passCompletions,164
2020,Indiana,Big Ten,passingTDs,16
2020,LSU,SEC,games,10
2020,Kansas,Big 12,possessionTime,16617
2020,Southern Mississippi,Conference USA,totalYards,3708
2020,Miami (OH),Mid-American,interceptions,1
2020,UNLV,Mountain West,interceptionTDs,0
2020,NC State,ACC,totalYards,4623
2020,South Carolina,SEC,fumblesRecovered,3
2020,UNLV,Mountain West,totalYards,1956
2020,Texas,Big 12,turnovers,9
2020,Southern Mississippi,Conference USA,thirdDownConversions,57
2020,Virginia,ACC,thirdDownConversions,53
2020,Missouri,SEC,tacklesForLoss,50
2020,Troy,Sun Belt,rushingTDs,11
2020,Liberty,FBS Independents,puntReturns,15
2020,Baylor,Big 12,sacks,18
2020,Rutgers,Big Ten,passCompletions,195
2020,UT San Antonio,Conference USA,sacks,25
2020,Baylor,Big 12,fourthDownConversions,12
2020,Texas Tech,Big 12,possessionTime,16241
2020,Toledo,Mid-American,kickReturns,23
2020,UT San Antonio,Conference USA,firstDowns,262
2020,Liberty,FBS Independents,fumblesRecovered,5
2020,Duke,ACC,sacks,31
2020,Mississippi State,SEC,tacklesForLoss,61
2020,San José State,Mountain West,games,8
2020,Notre Dame,FBS Independents,kickReturnTDs,0
2020,Southern Mississippi,Conference USA,passesIntercepted,6
2020,South Carolina,SEC,netPassingYards,1872
2020,Baylor,Big 12,rushingYards,821
2020,Georgia,SEC,fumblesLost,4
2020,Middle Tennessee,Conference USA,netPassingYards,2074
2020,Virginia Tech,ACC,rushingAttempts,472
2020,Arkansas,SEC,tacklesForLoss,50
2020,Western Kentucky,Conference USA,firstDowns,197
2020,Washington State,Pac-12,kickReturnYards,200
2020,Auburn,SEC,puntReturns,8
2020,Northwestern,Big Ten,penaltyYards,364
2020,Baylor,Big 12,netPassingYards,1979
2020,Central Michigan,Mid-American,thirdDownConversions,24
2020,Eastern Michigan,Mid-American,tacklesForLoss,26
2020,South Carolina,SEC,passAttempts,295
2020,Kent State,Mid-American,tacklesForLoss,25
2020,Texas Tech,Big 12,penalties,66
2020,Bowling Green,Mid-American,passingTDs,1
2020,San Diego State,Mountain West,netPassingYards,1200
2020,Penn State,Big Ten,passAttempts,306
2020,BYU,FBS Independents,rushingYards,2284
2020,North Carolina,ACC,fourthDowns,19
2020,UMass,FBS Independents,interceptions,5
2020,Indiana,Big Ten,puntReturnTDs,0
2020,East Carolina,American Athletic,fumblesLost,11
2020,NC State,ACC,interceptionTDs,1
2020,Army,FBS Independents,passAttempts,76
2020,Kentucky,SEC,passingTDs,7
2020,Kentucky,SEC,passCompletions,143
2020,Alabama,SEC,rushingTDs,37
2020,Troy,Sun Belt,possessionTime,17702
2020,Georgia Tech,ACC,interceptionTDs,0
2020,Arkansas State,Sun Belt,turnovers,16
2020,Florida,SEC,interceptions,10
2020,UT San Antonio,Conference USA,thirdDownConversions,78
2020,Wyoming,Mountain West,sacks,17
2020,Ball State,Mid-American,tacklesForLoss,56
2020,Georgia,SEC,rushingTDs,18
2020,Northwestern,Big Ten,passCompletions,173
2020,Boston College,ACC,puntReturnTDs,0
2020,Rice,Conference USA,penalties,17
2020,Georgia State,Sun Belt,passesIntercepted,12
2020,Buffalo,Mid-American,interceptions,4
2020,Ole Miss,SEC,puntReturns,7
2020,Colorado State,Mountain West,rushingTDs,6
2020,Florida,SEC,rushingAttempts,367
2020,Iowa State,Big 12,thirdDowns,161
2020,Louisiana Tech,Conference USA,penalties,50
2020,UAB,Conference USA,interceptionYards,75
2020,Ole Miss,SEC,fumblesLost,4
2020,UCLA,Pac-12,passAttempts,200
2020,Utah State,Mountain West,rushingTDs,4
2020,California,Pac-12,interceptionTDs,0
2020,Wisconsin,Big Ten,rushingTDs,13
2020,Temple,American Athletic,penaltyYards,311
2020,Bowling Green,Mid-American,fourthDownConversions,3
2020,Virginia Tech,ACC,puntReturnYards,66
2020,Hawai'i,Mountain West,penaltyYards,386
2020,Coastal Carolina,Sun Belt,passingTDs,29
2020,Pittsburgh,ACC,fumblesRecovered,5
2020,UCLA,Pac-12,possessionTime,12109
2020,Texas Tech,Big 12,puntReturnTDs,1
2020,Northwestern,Big Ten,interceptionTDs,0
2020,Arizona,Pac-12,interceptions,7
2020,UMass,FBS Independents,passAttempts,100
2020,Coastal Carolina,Sun Belt,turnovers,12
2020,Troy,Sun Belt,sacks,22
2020,Buffalo,Mid-American,netPassingYards,1334
2020,Notre Dame,FBS Independents,penaltyYards,456
2020,Army,FBS Independents,puntReturns,17
2020,Alabama,SEC,kickReturnTDs,0
2020,Utah,Pac-12,puntReturnTDs,1
2020,Nebraska,Big Ten,puntReturns,9
2020,California,Pac-12,puntReturnTDs,0
2020,UCF,American Athletic,tacklesForLoss,71
2020,Ball State,Mid-American,interceptionTDs,2
2020,Western Kentucky,Conference USA,thirdDowns,156
2020,Texas A&M,SEC,tacklesForLoss,63
2020,Wyoming,Mountain West,possessionTime,11047
2020,Hawai'i,Mountain West,totalYards,3458
2020,Boston College,ACC,interceptionTDs,0
2020,Michigan,Big Ten,penalties,35
2020,Washington,Pac-12,fourthDownConversions,5
2020,TCU,Big 12,fumblesRecovered,4
2020,Arkansas State,Sun Belt,thirdDowns,173
2020,Michigan,Big Ten,rushingYards,787
2020,Wisconsin,Big Ten,interceptionYards,217
2020,Michigan State,Big Ten,fumblesRecovered,5
2020,Oregon,Pac-12,tacklesForLoss,35
2020,Kansas,Big 12,netPassingYards,1389
2020,Northwestern,Big Ten,puntReturnYards,66
2020,Navy,American Athletic,tacklesForLoss,45
2020,Virginia,ACC,fumblesRecovered,7
2020,Pittsburgh,ACC,passingTDs,14
2020,North Texas,Conference USA,interceptionYards,21
2020,Vanderbilt,SEC,penaltyYards,343
2020,Stanford,Pac-12,rushingTDs,15
2020,Texas State,Sun Belt,rushingTDs,15
2020,Wake Forest,ACC,kickReturns,15
2020,Eastern Michigan,Mid-American,fumblesRecovered,9
2020,Texas,Big 12,interceptionTDs,0
2020,North Texas,Conference USA,puntReturnYards,57
2020,Memphis,American Athletic,kickReturnYards,484
2020,Iowa,Big Ten,interceptionTDs,2
2020,Navy,American Athletic,passesIntercepted,3
2020,UCLA,Pac-12,kickReturnTDs,0
2020,Missouri,SEC,passingTDs,9
2020,Rutgers,Big Ten,interceptionYards,54
2020,TCU,Big 12,kickReturnTDs,0
2020,Penn State,Big Ten,interceptions,9
2020,Kansas State,Big 12,rushingTDs,17
2020,Oklahoma,Big 12,kickReturnTDs,0
2020,USC,Pac-12,tacklesForLoss,34
2020,South Florida,American Athletic,kickReturnYards,710
2020,Colorado State,Mountain West,fumblesRecovered,4
2020,Iowa,Big Ten,games,8
2020,Clemson,ACC,firstDowns,295
2020,Kansas State,Big 12,interceptionYards,65
2020,Indiana,Big Ten,sacks,25
2020,Texas A&M,SEC,fumblesRecovered,4
2020,Rutgers,Big Ten,fourthDownConversions,11
2020,Ole Miss,SEC,passAttempts,335
2020,New Mexico,Mountain West,possessionTime,12765
2020,Virginia,ACC,tacklesForLoss,72
2020,Arizona,Pac-12,passAttempts,188
2020,Arkansas State,Sun Belt,passAttempts,464
2020,Florida Atlantic,Conference USA,penaltyYards,350
2020,Nebraska,Big Ten,fumblesRecovered,2
2020,Duke,ACC,kickReturnYards,704
2020,Illinois,Big Ten,passesIntercepted,7
2020,Rutgers,Big Ten,kickReturnYards,851
2020,Arkansas,SEC,games,10
2020,Buffalo,Mid-American,sacks,20
2020,Texas,Big 12,penalties,82
2020,Louisiana,Sun Belt,fumblesRecovered,7
2020,Akron,Mid-American,thirdDowns,77
2020,Florida International,Conference USA,thirdDowns,77
2020,San José State,Mountain West,passCompletions,183
2020,Western Michigan,Mid-American,kickReturnYards,536
2020,North Texas,Conference USA,kickReturnYards,587
2020,East Carolina,American Athletic,fourthDownConversions,10
2020,Michigan State,Big Ten,passAttempts,243
2020,Ohio State,Big Ten,kickReturns,7
2020,Kentucky,SEC,passAttempts,241
2020,Wake Forest,ACC,rushingYards,1491
2020,Utah State,Mountain West,netPassingYards,815
2020,Minnesota,Big Ten,passesIntercepted,4
2020,Kentucky,SEC,thirdDowns,142
2020,Miami,ACC,passAttempts,381
2020,Kansas State,Big 12,rushingAttempts,353
2020,Akron,Mid-American,passingTDs,4
2020,Miami,ACC,puntReturnYards,52
2020,North Carolina,ACC,netPassingYards,3617
2020,Florida International,Conference USA,puntReturnYards,86
2020,Ohio,Mid-American,fourthDowns,1
2020,Navy,American Athletic,puntReturns,10
2020,Kent State,Mid-American,fumblesLost,2
2020,South Alabama,Sun Belt,kickReturnTDs,0
2020,California,Pac-12,fourthDowns,8
2020,Ohio,Mid-American,turnovers,2
2020,Boston College,ACC,penaltyYards,740
2020,Tulane,American Athletic,passingTDs,21
2020,Tennessee,SEC,kickReturnYards,394
2020,NC State,ACC,kickReturnYards,526
2020,San Diego State,Mountain West,puntReturnTDs,1
2020,Georgia Southern,Sun Belt,passAttempts,174
2020,Auburn,SEC,turnovers,9
2020,Tulane,American Athletic,games,12
2020,SMU,American Athletic,sacks,25
2020,South Florida,American Athletic,puntReturnTDs,1
2020,Toledo,Mid-American,rushingYards,1008
2020,USC,Pac-12,netPassingYards,1916
2020,UCF,American Athletic,fourthDownConversions,12
2020,Wake Forest,ACC,fourthDowns,21
2020,Arkansas,SEC,fumblesLost,7
2020,Ohio State,Big Ten,passAttempts,225
2020,Nevada,Mountain West,fourthDowns,18
2020,Southern Mississippi,Conference USA,passingTDs,12
2020,Wisconsin,Big Ten,rushingAttempts,293
2020,Virginia,ACC,rushingAttempts,366
2020,New Mexico,Mountain West,tacklesForLoss,33
2020,Navy,American Athletic,kickReturns,12
2020,Louisiana Monroe,Sun Belt,rushingTDs,8
2020,Utah,Pac-12,netPassingYards,1079
2020,Cincinnati,American Athletic,penaltyYards,762
2020,Washington State,Pac-12,thirdDownConversions,20
2020,Virginia Tech,ACC,possessionTime,19894
2020,Florida State,ACC,interceptionYards,124
2020,Texas Tech,Big 12,passCompletions,257
2020,Washington State,Pac-12,turnovers,8
2020,Iowa,Big Ten,passesIntercepted,11
2020,Missouri,SEC,rushingTDs,21
2020,Baylor,Big 12,rushingAttempts,297
2020,Georgia,SEC,puntReturnTDs,0
2020,Colorado State,Mountain West,firstDowns,68
2020,South Alabama,Sun Belt,rushingAttempts,419
2020,Middle Tennessee,Conference USA,kickReturns,24
2020,Arizona State,Pac-12,fumblesRecovered,8
2020,Tulane,American Athletic,fourthDownConversions,12
2020,Rutgers,Big Ten,rushingAttempts,343
2020,Western Michigan,Mid-American,kickReturns,28
2020,Illinois,Big Ten,thirdDownConversions,43
2020,Miami (OH),Mid-American,tacklesForLoss,20
2020,Utah State,Mountain West,sacks,16
2020,Vanderbilt,SEC,fumblesLost,6
2020,Boston College,ACC,puntReturnYards,55
2020,Arkansas,SEC,fourthDownConversions,7
2020,Appalachian State,Sun Belt,rushingTDs,28
2020,Tulane,American Athletic,interceptionYards,142
2020,Florida Atlantic,Conference USA,interceptionTDs,0
2020,Southern Mississippi,Conference USA,rushingAttempts,367
2020,USC,Pac-12,interceptionYards,141
2020,Charlotte,Conference USA,penaltyYards,370
2020,Minnesota,Big Ten,penaltyYards,288
2020,Appalachian State,Sun Belt,kickReturnYards,739
2020,Wyoming,Mountain West,tacklesForLoss,46
2020,Cincinnati,American Athletic,passAttempts,295
2020,Liberty,FBS Independents,puntReturnYards,166
2020,Utah State,Mountain West,fumblesRecovered,2
2020,UAB,Conference USA,kickReturns,13
2020,Utah,Pac-12,fumblesRecovered,6
2020,BYU,FBS Independents,fumblesLost,5
2020,Tennessee,SEC,thirdDownConversions,38
2020,Georgia Southern,Sun Belt,games,13
2020,Eastern Michigan,Mid-American,interceptionTDs,0
2020,Northwestern,Big Ten,totalYards,3266
2020,Arizona State,Pac-12,fourthDowns,6
2020,Georgia Southern,Sun Belt,tacklesForLoss,79
2020,San Diego State,Mountain West,puntReturnYards,245
2020,Virginia Tech,ACC,sacks,36
2020,UMass,FBS Independents,turnovers,7
2020,UT San Antonio,Conference USA,games,12
2020,Marshall,Conference USA,games,10
2020,Penn State,Big Ten,fourthDownConversions,11
2020,Louisville,ACC,kickReturnTDs,0
2020,Notre Dame,FBS Independents,fourthDownConversions,11
2020,Texas,Big 12,passAttempts,345
2020,Georgia Southern,Sun Belt,totalYards,4827
2020,UTEP,Conference USA,fourthDowns,13
2020,Texas State,Sun Belt,fourthDownConversions,10
2020,UNLV,Mountain West,interceptionYards,23
2020,Arizona,Pac-12,fumblesLost,5
2020,Wake Forest,ACC,thirdDownConversions,56
2020,Texas State,Sun Belt,netPassingYards,2864
2020,Syracuse,ACC,fumblesRecovered,11
2020,Ohio,Mid-American,netPassingYards,446
2020,SMU,American Athletic,totalYards,4958
2020,Virginia Tech,ACC,rushingTDs,27
2020,Florida State,ACC,netPassingYards,1770
2020,Georgia Tech,ACC,thirdDowns,146
2020,Notre Dame,FBS Independents,kickReturnYards,492
2020,Southern Mississippi,Conference USA,tacklesForLoss,49
2020,San José State,Mountain West,rushingTDs,8
2020,West Virginia,Big 12,puntReturnYards,105
2020,Temple,American Athletic,rushingTDs,5
2020,Texas A&M,SEC,rushingAttempts,374
2020,Washington State,Pac-12,penaltyYards,187
2020,Western Michigan,Mid-American,interceptions,2
2020,Georgia State,Sun Belt,netPassingYards,2303
2020,Appalachian State,Sun Belt,interceptionYards,231
2020,Temple,American Athletic,totalYards,2434
2020,Michigan State,Big Ten,tacklesForLoss,43
2020,Louisville,ACC,passCompletions,202
2020,Rice,Conference USA,kickReturns,13
2020,Kansas,Big 12,thirdDowns,142
2020,Air Force,Mountain West,interceptionYards,88
2020,San José State,Mountain West,sacks,25
2020,Middle Tennessee,Conference USA,interceptionYards,138
2020,Liberty,FBS Independents,kickReturns,20
2020,Ole Miss,SEC,thirdDownConversions,70
2020,Temple,American Athletic,fumblesRecovered,9
2020,Ohio State,Big Ten,puntReturnTDs,0
2020,Texas,Big 12,netPassingYards,2801
2020,Illinois,Big Ten,penalties,39
2020,Oklahoma,Big 12,fumblesLost,6
2020,Arizona State,Pac-12,fumblesLost,3
2020,UT San Antonio,Conference USA,penalties,84
2020,Miami (OH),Mid-American,puntReturnTDs,0
2020,Arizona,Pac-12,fourthDowns,12
2020,East Carolina,American Athletic,rushingYards,1562
2020,Oklahoma State,Big 12,passesIntercepted,6
2020,Wisconsin,Big Ten,turnovers,12
2020,Virginia,ACC,netPassingYards,2605
2020,Boise State,Mountain West,fumblesRecovered,0
2020,Michigan State,Big Ten,passCompletions,132
2020,Texas Tech,Big 12,passingTDs,18
2020,Louisiana Monroe,Sun Belt,puntReturnYards,30
2020,Coastal Carolina,Sun Belt,puntReturnTDs,0
2020,Middle Tennessee,Conference USA,games,9
2020,Arizona State,Pac-12,interceptionTDs,0
2020,Georgia Southern,Sun Belt,thirdDowns,163
2020,Texas State,Sun Belt,fumblesLost,4
2020,Oklahoma,Big 12,kickReturnYards,391
2020,Vanderbilt,SEC,totalYards,2959
2020,Washington,Pac-12,passingTDs,4
2020,Alabama,SEC,totalYards,7034
2020,Kansas,Big 12,interceptions,10
2020,Utah,Pac-12,turnovers,13
2020,Oklahoma,Big 12,totalYards,5442
2020,Washington State,Pac-12,games,4
2020,UCF,American Athletic,sacks,26
2020,UNLV,Mountain West,fumblesRecovered,3
2020,Florida,SEC,penaltyYards,557
2020,Louisiana Monroe,Sun Belt,thirdDownConversions,34
2020,Clemson,ACC,fumblesRecovered,9
2020,Purdue,Big Ten,thirdDownConversions,30
2020,Clemson,ACC,passingTDs,31
2020,Appalachian State,Sun Belt,possessionTime,22821
2020,Boise State,Mountain West,interceptionTDs,0
2020,East Carolina,American Athletic,kickReturns,31
2020,Miami (OH),Mid-American,rushingAttempts,100
2020,Wisconsin,Big Ten,fumblesRecovered,4
2020,Stanford,Pac-12,kickReturnTDs,0
2020,Vanderbilt,SEC,puntReturnTDs,0
2020,Louisiana Monroe,Sun Belt,fumblesRecovered,6
2020,Nevada,Mountain West,fumblesLost,5
2020,Indiana,Big Ten,kickReturnTDs,0
2020,Virginia,ACC,fumblesLost,5
2020,Coastal Carolina,Sun Belt,firstDowns,281
2020,Navy,American Athletic,rushingAttempts,483
2020,Western Michigan,Mid-American,netPassingYards,1704
2020,Baylor,Big 12,passAttempts,331
2020,Iowa,Big Ten,passAttempts,248
2020,Colorado,Pac-12,turnovers,11
2020,Ole Miss,SEC,tacklesForLoss,47
2020,Rutgers,Big Ten,fumblesLost,5
2020,Missouri,SEC,passesIntercepted,2
2020,Kentucky,SEC,kickReturns,16
2020,Cincinnati,American Athletic,rushingAttempts,381
2020,Eastern Michigan,Mid-American,fumblesLost,6
2020,UCLA,Pac-12,kickReturns,10
2020,Notre Dame,FBS Independents,passesIntercepted,7
2020,Tulsa,American Athletic,sacks,22
2020,Auburn,SEC,passCompletions,216
2020,Tennessee,SEC,kickReturns,19
2020,Virginia,ACC,sacks,32
2020,Louisiana,Sun Belt,totalYards,4635
2020,Colorado,Pac-12,tacklesForLoss,49
2020,Liberty,FBS Independents,tacklesForLoss,59
2020,Colorado State,Mountain West,rushingYards,496
2020,Arizona,Pac-12,interceptionTDs,0
2020,Notre Dame,FBS Independents,turnovers,11
2020,Rutgers,Big Ten,firstDowns,171
2020,UCF,American Athletic,puntReturnTDs,0
2020,LSU,SEC,interceptions,9
